id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
PJM-G-3731_199,"Pizza jamón maiz","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-maiz-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-maiz/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",45000COP,in stock,PJM-7727_197,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PH-P-2530_196,"Pizza Hawaiana","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Hawaiana-1-2.jpg,https://pizzeriahorebs.com/producto/pizza-hawaiana/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",18000COP,in stock,PH-2226_192,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,15000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PH-M-4442_195,"Pizza Hawaiana","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Hawaiana-1-2.jpg,https://pizzeriahorebs.com/producto/pizza-hawaiana/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",28000COP,in stock,PH-2226_192,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PH-G-9545_194,"Pizza Hawaiana","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Hawaiana-1-2.jpg,https://pizzeriahorebs.com/producto/pizza-hawaiana/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PH-2226_192,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PPC-P-4956_191,"Pizza pollo champiñon","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pollo-champinon-1.jpg,https://pizzeriahorebs.com/producto/pizza-pollo-champinon/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",18000COP,in stock,PPC-5019_187,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PPC-M-4595_190,"Pizza pollo champiñon","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pollo-champinon-1.jpg,https://pizzeriahorebs.com/producto/pizza-pollo-champinon/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",30000COP,in stock,PPC-5019_187,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PPC-G-1373_189,"Pizza pollo champiñon","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pollo-champinon-1.jpg,https://pizzeriahorebs.com/producto/pizza-pollo-champinon/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PPC-5019_187,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PHE-P-3263_183,"Pizza horebs especial","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pizzeria-horebs-special-post-1.jpg,https://pizzeriahorebs.com/producto/pizza-horebs-especial/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",20000COP,in stock,PHE-7616_179,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PHE-M-2488_182,"Pizza horebs especial","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pizzeria-horebs-special-post-1.jpg,https://pizzeriahorebs.com/producto/pizza-horebs-especial/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",40000COP,in stock,PHE-7616_179,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PHE-G-2997_181,"Pizza horebs especial","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/pizzeria-horebs-special-post-1.jpg,https://pizzeriahorebs.com/producto/pizza-horebs-especial/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",55000COP,in stock,PHE-7616_179,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PCE-P-4360_178,"Pizza cuatro estaciones","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/cuatro-estaciones-1.jpg,https://pizzeriahorebs.com/producto/pizza-cuatro-estaciones/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",20000COP,in stock,PCE-3518_174,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PCE-M-3847_177,"Pizza cuatro estaciones","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/cuatro-estaciones-1.jpg,https://pizzeriahorebs.com/producto/pizza-cuatro-estaciones/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",30000COP,in stock,PCE-3518_174,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PCE-G-6521_176,"Pizza cuatro estaciones","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/cuatro-estaciones-1.jpg,https://pizzeriahorebs.com/producto/pizza-cuatro-estaciones/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PCE-3518_174,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PR-P-3712_173,"Pizza ranchera","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Ranchera-1.jpg,https://pizzeriahorebs.com/producto/pizza-ranchera/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",15000COP,in stock,PR-9219_169,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PR-M-8905_172,"Pizza ranchera","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Ranchera-1.jpg,https://pizzeriahorebs.com/producto/pizza-ranchera/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",30000COP,in stock,PR-9219_169,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PR-G-9032_171,"Pizza ranchera","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Ranchera-1.jpg,https://pizzeriahorebs.com/producto/pizza-ranchera/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PR-9219_169,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PTC-P-7342_168,"Pizza tres carnes","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Tres-carnes-1.jpg,https://pizzeriahorebs.com/producto/pizza-tres-carnes/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",22000COP,in stock,PT-2941_164,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PTC-M-2938_167,"Pizza tres carnes","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Tres-carnes-1.jpg,https://pizzeriahorebs.com/producto/pizza-tres-carnes/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",35000COP,in stock,PT-2941_164,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PTC-G-6286_166,"Pizza tres carnes","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Tres-carnes-1.jpg,https://pizzeriahorebs.com/producto/pizza-tres-carnes/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",50000COP,in stock,PT-2941_164,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PV-P-5851_163,"Pizza vegetariana","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/vegetariana-1.jpg,https://pizzeriahorebs.com/producto/pizza-vegetariana/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",19000COP,in stock,PV-4861_159,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,15000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PV-M-1271_162,"Pizza vegetariana","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/vegetariana-1.jpg,https://pizzeriahorebs.com/producto/pizza-vegetariana/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",30000COP,in stock,PV-4861_159,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PV-G-7756_161,"Pizza vegetariana","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/vegetariana-1.jpg,https://pizzeriahorebs.com/producto/pizza-vegetariana/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",50000COP,in stock,PV-4861_159,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,40000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PJQ-P-6783_139,"Pizza de Jamón y Queso","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Jamon-2.jpg,https://pizzeriahorebs.com/producto/pizza-de-jamon-y-queso/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",13000COP,in stock,PJQ-5032_135,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PJQ-M-8342_138,"Pizza de Jamón y Queso","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Jamon-2.jpg,https://pizzeriahorebs.com/producto/pizza-de-jamon-y-queso/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",27000COP,in stock,PJQ-5032_135,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PJQ-G-8432_137,"Pizza de Jamón y Queso","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Jamon-2.jpg,https://pizzeriahorebs.com/producto/pizza-de-jamon-y-queso/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PJQ-5032_135,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,35000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PM-P-4270_110,"Pizza Margarita","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Margarita.jpg,https://pizzeriahorebs.com/producto/pizza-margarita/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",16000COP,in stock,PM-5135_106,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,10000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PM-M-3396_109,"Pizza Margarita","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Margarita.jpg,https://pizzeriahorebs.com/producto/pizza-margarita/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",25000COP,in stock,PM-5135_106,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,20000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PM-G-6713_108,"Pizza Margarita","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Margarita.jpg,https://pizzeriahorebs.com/producto/pizza-margarita/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",40000COP,in stock,PM-5135_106,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,30000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
